experiment_file,experiment_id,linked_claim,boundary_type,inspection_score_0_5,use_decision,allowed_interpretation,new_experiment_run
viruse_fabric/experiments/exp_142_drafted_formal_definition_boundary_audit.py,exp_142_drafted_formal_definition_boundary_audit,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_143_draft_boundary_resolution_targeting_plan.py,exp_143_draft_boundary_resolution_targeting_plan,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_144_draft_boundary_resolution_authorization_plan.py,exp_144_draft_boundary_resolution_authorization_plan,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_148_path_kernel_theorem_proof_boundary_audit.py,exp_148_path_kernel_theorem_proof_boundary_audit,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_150_limited_theorem_pair_boundary_audit.py,exp_150_limited_theorem_pair_boundary_audit,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_154_path_kernel_theorem_stack_boundary_audit.py,exp_154_path_kernel_theorem_stack_boundary_audit,CLAIM-VF-H2-C-or-D,general_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_157_attractor_class_scaffold_boundary_audit.py,exp_157_attractor_class_scaffold_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_160_stabilization_predicate_draft_boundary_audit.py,exp_160_stabilization_predicate_draft_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_162_stabilization_predicate_completion_criteria_boundary_audit.py,exp_162_stabilization_predicate_completion_criteria_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_164_stabilization_predicate_completion_decision_plan_boundary_audit.py,exp_164_stabilization_predicate_completion_decision_plan_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_167_stabilization_predicate_conditional_hold_gap_register_boundary_audit.py,exp_167_stabilization_predicate_conditional_hold_gap_register_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_169_carrier_domain_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_169_carrier_domain_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_171_local_persistence_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_171_local_persistence_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_173_recurrence_witness_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_173_recurrence_witness_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_175_exclusion_and_failure_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_175_exclusion_and_failure_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_177_minimal_adequacy_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_177_minimal_adequacy_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_179_residual_ambiguity_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_179_residual_ambiguity_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_181_final_residual_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_181_final_residual_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_182_completion_decision_boundary_audit_planning.py,exp_182_completion_decision_boundary_audit_planning,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_183_formal_definition_transition_boundary_audit_plan.py,exp_183_formal_definition_transition_boundary_audit_plan,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_186_sigma_a_draft_consistency_boundary_audit.py,exp_186_sigma_a_draft_consistency_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,2,context_only_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_189_sigma_a_carrier_type_selection_decision_boundary_plan.py,exp_189_sigma_a_carrier_type_selection_decision_boundary_plan,CLAIM-VF-H2-C-or-D,constraint_boundary,1,weak_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_194_sigma_a_typed_product_carrier_component_slot_refinement_boundary_audit.py,exp_194_sigma_a_typed_product_carrier_component_slot_refinement_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,2,context_only_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_197_sigma_a_typed_product_carrier_component_slot_integration_boundary_audit.py,exp_197_sigma_a_typed_product_carrier_component_slot_integration_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,2,context_only_boundary_candidate,boundary evidence only; not validation; not proof,False
viruse_fabric/experiments/exp_200_sigma_a_typed_product_carrier_refinement_boundary_audit.py,exp_200_sigma_a_typed_product_carrier_refinement_boundary_audit,CLAIM-VF-H2-C-or-D,constraint_boundary,2,context_only_boundary_candidate,boundary evidence only; not validation; not proof,False
